"col_type","color","type","typicality_cat","ref_cat","anon_worker_id"
"red_tomato","red","tomato","typ","type","922460878577885"
"yellow_snowman","yellow","snowman","atyp","type","922460878577885"
"red_corn","red","corn","atyp","type","922460878577885"
"green_broccoli","green","broccoli","typ","type","922460878577885"
"green_lettuce","green","lettuce","typ","type","922460878577885"
"yellow_egg","yellow","egg","atyp","type","922460878577885"
"yellow_banana","yellow","banana","typ","type","922460878577885"
"orange_carrot","orange","carrot","typ","type","922460878577885"
"red_strawberry","red","strawberry","typ","type","922460878577885"
"orange_pumpkin","orange","pumpkin","typ","type","922460878577885"
"yellow_corn","yellow","corn","typ","type","227382334165375"
"yellow_banana","yellow","banana","typ","type","227382334165375"
"green_carrot","green","carrot","atyp","type","227382334165375"
"green_broccoli","green","broccoli","typ","type","227382334165375"
"yellow_strawberry","yellow","strawberry","atyp","type","227382334165375"
"white_tomato","white","tomato","atyp","type","227382334165375"
"yellow_snowman","yellow","snowman","atyp","type","227382334165375"
"yellow_strawberry","yellow","strawberry","atyp","type","929513076215108"
"white_snowman","white","snowman","typ","type","929513076215108"
"orange_carrot","orange","carrot","typ","type","929513076215108"
"orange_pumpkin","orange","pumpkin","typ","type","929513076215108"
"red_broccoli","red","broccoli","atyp","type","929513076215108"
"red_tomato","red","tomato","typ","type","929513076215108"
"yellow_banana","yellow","banana","typ","type","929513076215108"
"green_swan","green","swan","atyp","type","929513076215108"
"white_egg","white","egg","typ","type","929513076215108"
"yellow_corn","yellow","corn","typ","type","929513076215108"
"white_egg","white","egg","typ","type","376820064567768"
"yellow_banana","yellow","banana","typ","type","376820064567768"
"red_strawberry","red","strawberry","typ","type","376820064567768"
"white_pumpkin","white","pumpkin","atyp","type","376820064567768"
"yellow_snowman","yellow","snowman","atyp","type","376820064567768"
"orange_carrot","orange","carrot","typ","type","376820064567768"
"orange_lettuce","orange","lettuce","atyp","type","376820064567768"
"red_tomato","red","tomato","typ","type","376820064567768"
"orange_pumpkin","orange","pumpkin","typ","type","10227718686282"
"white_swan","white","swan","typ","type","10227718686282"
"red_corn","red","corn","atyp","type","10227718686282"
"white_snowman","white","snowman","typ","type","10227718686282"
"yellow_egg","yellow","egg","atyp","type","10227718686282"
"yellow_banana","yellow","banana","typ","type","10227718686282"
"white_tomato","white","tomato","atyp","type","10227718686282"
"orange_carrot","orange","carrot","typ","type","10227718686282"
"green_broccoli","green","broccoli","typ","type","10227718686282"
"yellow_strawberry","yellow","strawberry","atyp","type","10227718686282"
"yellow_snowman","yellow","snowman","atyp","type","858682739763501"
"yellow_banana","yellow","banana","typ","type","858682739763501"
"white_egg","white","egg","typ","type","858682739763501"
"green_broccoli","green","broccoli","typ","type","858682739763501"
"red_strawberry","red","strawberry","typ","type","858682739763501"
"green_lettuce","green","lettuce","typ","type","858682739763501"
"green_carrot","green","carrot","atyp","type","858682739763501"
"yellow_corn","yellow","corn","typ","type","858682739763501"
"orange_carrot","orange","carrot","typ","type","144755363139591"
"yellow_snowman","yellow","snowman","atyp","type","144755363139591"
"red_broccoli","red","broccoli","atyp","type","144755363139591"
"yellow_banana","yellow","banana","typ","type","144755363139591"
"orange_pumpkin","orange","pumpkin","typ","type","144755363139591"
"yellow_corn","yellow","corn","typ","type","144755363139591"
"yellow_egg","yellow","egg","atyp","type","144755363139591"
"orange_carrot","orange","carrot","typ","type","980628246457904"
"red_broccoli","red","broccoli","atyp","type","980628246457904"
"white_tomato","white","tomato","atyp","type","980628246457904"
"yellow_egg","yellow","egg","atyp","type","980628246457904"
"red_corn","red","corn","atyp","type","980628246457904"
"white_pumpkin","white","pumpkin","atyp","type","980628246457904"
"white_snowman","white","snowman","typ","type","980628246457904"
"yellow_banana","yellow","banana","typ","type","980628246457904"
"green_lettuce","green","lettuce","typ","type","980628246457904"
"yellow_strawberry","yellow","strawberry","atyp","type","980628246457904"
"red_corn","red","corn","atyp","type","721669791166006"
"green_broccoli","green","broccoli","typ","type","721669791166006"
