"botresponse","comments","endTime","item","languages","refexp","startDate","startTime","timeSpent","trial_number","anon_worker_id"
"Jennifer","None",1554304857160,"images/yellow_banana.png","Englsih","Banana","Wed Apr 03 2019 10:20:33 GMT-0500 (Central Daylight Time)",1554304833966,0.386566666666667,1,"053291399248243"
"Linda",NA,1554304853083,"images/yellow_banana.png","english","banana","Wed Apr 03 2019 08:20:14 GMT-0700 (Mountain Standard Time)",1554304814087,0.649933333333333,1,"456643867212765"
"Patricia",NA,1554304851728,"images/yellow_banana.png",NA,"Banana","Wed Apr 03 2019 10:20:15 GMT-0500 (Central Daylight Time)",1554304815476,0.6042,1,"482893027445468"
"Linda","None",1554304762978,"images/yellow_banana.png","English","One ripe Banana","Wed Apr 03 2019 11:18:40 GMT-0400 (Eastern Daylight Time)",1554304720318,0.711,1,"657631664054748"
"Jessica",NA,1554304846659,"images/yellow_banana.png","English","banana","Wed Apr 03 2019 08:20:18 GMT-0700 (Pacific Daylight Time)",1554304818361,0.471633333333333,1,"393253749504237"
"Mary",NA,1554304848933,"images/yellow_banana.png","english","banana","Wed Apr 03 2019 11:20:30 GMT-0400 (Eastern Daylight Time)",1554304830095,0.313966666666667,1,"888824742509705"
"Jessica",NA,1554304842365,"images/yellow_banana.png","English","Banana","Wed Apr 03 2019 11:20:07 GMT-0400 (EDT)",1554304807490,0.58125,1,"078114151409250"
"Elizabeth",NA,1554304839609,"images/yellow_banana.png","english","banana","Wed Apr 03 2019 10:20:03 GMT-0500 (Central Daylight Time)",1554304803773,0.597266666666667,1,"631084613216717"
"Patricia",NA,1554304835100,"images/yellow_banana.png","English","banana","Wed Apr 03 2019 09:20:05 GMT-0600 (Mountain Daylight Time)",1554304805873,0.487116666666667,1,"730857922697088"
"Elizabeth",NA,1554304829194,"images/yellow_banana.png","English","banana","Wed Apr 03 2019 10:20:03 GMT-0500 (Central Daylight Time)",1554304803550,0.4274,1,"854790234182422"
"Sarah",NA,1554304705789,"images/orange_carrot.png","english","carrot","Wed Apr 03 2019 11:17:39 GMT-0400 (Eastern Daylight Time)",1554304659931,0.7643,1,"054910225564514"
"Linda",NA,1554304698386,"images/orange_carrot.png","english","carrot","Wed Apr 03 2019 10:17:47 GMT-0500 (Central Daylight Time)",1554304667483,0.51505,1,"674332652901206"
"Mary",NA,1554304689528,"images/orange_banana.png","english","banana","Wed Apr 03 2019 11:17:43 GMT-0400 (Eastern Daylight Time)",1554304663292,0.437266666666667,1,"696511816803070"
"Jennifer",NA,1554304674523,"images/orange_banana.png","English","banana","Wed Apr 03 2019 10:17:16 GMT-0500 (Central Daylight Time)",1554304636643,0.631333333333333,1,"778906107095698"
"Mary",NA,1554304659661,"images/orange_carrot.png","English","carrot","Wed Apr 03 2019 11:15:42 GMT-0400 (Eastern Daylight Time)",1554304542805,1.9476,1,"530327439657536"
